N,time,rrmse,success-prob
333,18.46812492689673,-4.236778289615357,1.0
334,18.523584761512037,-4.236778289615357,1.0
335,18.579044596127343,-4.236778289615357,1.0
336,18.63450443074265,-4.236778289615357,1.0
337,18.689964265357954,-4.236778289615357,1.0
338,18.745424099973256,-4.236778289615357,1.0
339,18.800883934588562,-4.236778289615357,1.0
340,18.856343769203868,-4.236778289615357,1.0
341,18.911803603819173,-4.236778289615357,1.0
342,18.96726343843448,-4.236778289615357,1.0
343,19.022723273049785,-4.236778289615357,1.0
344,19.07818310766509,-4.236778289615357,1.0
345,19.133642942280396,-4.236778289615357,1.0
346,19.1891027768957,-4.236778289615357,1.0
347,19.244562611511007,-4.236778289615357,1.0
348,19.300022446126313,-4.236778289615357,1.0
349,19.35548228074162,-4.236778289615357,1.0
350,19.410942115356924,-4.236778289615357,1.0
351,19.46640194997223,-4.236778289615357,1.0
352,19.521861784587536,-4.236778289615357,1.0
353,19.57732161920284,-4.236778289615357,1.0
354,19.632781453818147,-4.236778289615357,1.0
355,19.688241288433453,-4.236778289615357,1.0
356,19.74370112304876,-4.236778289615357,1.0
357,19.799160957664064,-4.236778289615357,1.0
358,19.85462079227937,-4.236778289615357,1.0
359,19.910080626894672,-4.236778289615357,1.0
360,19.965540461509978,-4.236778289615357,1.0
361,20.021000296125283,-4.236778289615357,1.0
362,20.07646013074059,-4.236778289615357,1.0
363,20.131919965355895,-4.236778289615357,1.0
364,20.1873797999712,-4.236778289615357,1.0
365,20.242839634586506,-4.236778289615357,1.0
366,20.29829946920181,-4.236778289615357,1.0
367,20.353759303817117,-4.236778289615357,1.0
368,20.409219138432423,-4.236778289615357,1.0
369,20.46467897304773,-4.236778289615357,1.0
370,20.520138807663034,-4.236778289615357,1.0
371,20.57559864227834,-4.236778289615357,1.0
372,20.631058476893646,-4.236778289615357,1.0
373,20.68651831150895,-4.236778289615357,1.0
374,20.741978146124257,-4.236778289615357,1.0
375,20.797437980739563,-4.236778289615357,1.0
376,20.85289781535487,-4.236778289615357,1.0
377,20.908357649970174,-4.236778289615357,1.0
378,20.96381748458548,-4.236778289615357,1.0
379,21.019277319200782,-4.236778289615357,1.0
380,21.074737153816088,-4.236778289615357,1.0
381,21.130196988431393,-4.236778289615357,1.0
382,21.1856568230467,-4.236778289615357,1.0
383,21.241116657662005,-4.236778289615357,1.0
384,21.29657649227731,-4.236778289615357,1.0
385,21.352036326892616,-4.236778289615357,1.0
386,21.407496161507922,-4.236778289615357,1.0
387,21.462955996123227,-4.236778289615357,1.0
388,21.518415830738533,-4.236778289615357,1.0
389,21.57387566535384,-4.236778289615357,1.0
390,21.629335499969145,-4.236778289615357,1.0
391,21.68479533458445,-4.236778289615357,1.0
