t,x,y,z
38.480000000000004,-5.887839649438163,-5.887839204658852,12.999999922671615
38.49,-5.887839607665864,-5.887839217300611,12.999999790106044
38.5,-5.887839571420873,-5.887839237134452,12.99999965970763
38.51,-5.887839540853944,-5.887839263997572,12.999999532158016
38.52,-5.8878395160842425,-5.887839297690742,12.999999408118347
38.53,-5.887839497199111,-5.8878393379795995,12.999999288226412
38.54,-5.887839484253489,-5.887839384596403,12.999999173092064
38.550000000000004,-5.887839477270035,-5.887839437241605,12.999999063294798
38.56,-5.887839476239391,-5.887839495585473,12.999998959381685
38.57,-5.887839481120296,-5.887839559270546,12.999998861863359
38.58,-5.887839491840112,-5.887839627913633,12.999998771211976
38.59,-5.887839508295482,-5.8878397011075805,12.999998687859886
38.6,-5.887839530353135,-5.88783977842432,12.999998612196482
38.61,-5.8878395578508504,-5.887839859417234,12.999998544566637
38.62,-5.8878395905984044,-5.887839943623015,12.999998485270007
38.63,-5.887839628379006,-5.88784003056504,12.99999843455897
38.64,-5.887839670950688,-5.887840119756047,12.999998392637666
38.65,-5.887839718047492,-5.887840210700021,12.999998359661873
38.660000000000004,-5.887839769381373,-5.887840302895621,12.999998335738105
38.67,-5.887839824644015,-5.887840395839108,12.999998320923352
38.68,-5.887839883508214,-5.887840489026218,12.999998315225472
38.69,-5.887839945630053,-5.8878405819553725,12.999998318603408
38.7,-5.887840010651112,-5.887840674130747,12.999998330967701
38.71,-5.8878400782000435,-5.887840765064145,12.999998352181434
38.72,-5.887840147894766,-5.88784085427769,12.999998382061351
38.730000000000004,-5.887840219344967,-5.887840941306854,12.999998420379248
38.74,-5.887840292153796,-5.887841025702237,12.999998466863378
38.75,-5.887840365920189,-5.887841107032011,12.999998521200341
38.76,-5.887840440241383,-5.887841184884525,12.99999858303726
38.77,-5.887840514714566,-5.8878412588697255,12.99999865198367
38.78,-5.8878405889392225,-5.88784132862128,12.99999872761404
38.79,-5.887840662519611,-5.8878413937987375,12.999998809470611
38.800000000000004,-5.887840735066305,-5.887841454088605,12.999998897065588
38.81,-5.8878408061984455,-5.887841509206023,12.999998989884222
38.82,-5.8878408755460345,-5.887841558896344,12.999999087388128
38.83,-5.887840942751293,-5.887841602935809,12.999999189017718
38.84,-5.887841007470713,-5.887841641132678,12.999999294195678
38.85,-5.887841069377077,-5.887841673328221,12.99999940233059
38.86,-5.887841128160573,-5.88784169939698,12.99999951281943
38.87,-5.887841183530561,-5.887841719247322,12.999999625051313
38.88,-5.887841235217214,-5.887841732821777,12.999999738411207
38.89,-5.887841282972344,-5.887841740096886,12.999999852282441
38.9,-5.887841326570801,-5.887841741083125,12.99999996605048
38.910000000000004,-5.887841365811668,-5.887841735824651,13.000000079106588
38.92,-5.8878414005187825,-5.887841724398731,13.000000190850166
38.93,-5.8878414305416875,-5.887841706915079,13.000000300692424
38.94,-5.887841455756348,-5.887841683514992,13.000000408059792
38.95,-5.88784147606535,-5.887841654370435,13.000000512396015
38.96,-5.887841491398349,-5.88784161968279,13.00000061316553
38.97,-5.887841501712314,-5.887841579681482,13.00000070985648
38.980000000000004,-5.887841506991381,-5.887841534622759,13.000000801982441
38.99,-5.8878415072468036,-5.887841484787923,13.000000889085376
39.0,-5.887841502516708,-5.887841430481525,13.000000970738094
39.01,-5.887841492865632,-5.887841372029909,13.000001046545579
39.02,-5.8878414783839785,-5.887841309779002,13.000001116147349
39.03,-5.887841459187314,-5.8878412440922006,13.00000117921928
39.04,-5.887841435415627,-5.887841175348741,13.000001235474466
39.050000000000004,-5.887841407232302,-5.887841103941166,13.000001284664883
39.06,-5.88784137482302,-5.887841030273007,13.000001326582522
39.07,-5.887841338394781,-5.887840954757073,13.000001361059745
39.08,-5.8878412981744495,-5.887840877812708,13.000001387970185
39.09,-5.887841254407326,-5.887840799863392,13.00000140722915
39.1,-5.887841207355988,-5.887840721335033,13.000001418793483
39.11,-5.887841157298467,-5.88784064265315,13.000001422661647
39.12,-5.887841104526593,-5.887840564240508,13.000001418873424
39.13,-5.887841049344694,-5.887840486515497,13.000001407509284
39.14,-5.887840992067515,-5.887840409889366,13.000001388689675
39.15,-5.887840933018406,-5.8878403347640225,13.00000136257404
39.160000000000004,-5.88784087252796,-5.887840261530558,13.000001329359756
39.17,-5.887840810931759,-5.887840190566674,13.000001289280647
39.18,-5.887840748568548,-5.887840122234775,13.000001242605437
39.19,-5.887840685778999,-5.887840056880858,13.000001189636407
39.2,-5.887840622903079,-5.887839994831881,13.000001130706995
39.21,-5.8878405602781525,-5.887839936394068,13.0000010661797
39.22,-5.887840498237547,-5.8878398818518285,13.000000996444156
39.230000000000004,-5.887840437109955,-5.8878398314676765,13.000000921915705
39.24,-5.88784037721585,-5.8878397854790006,13.000000843031481
